Date,WIG
40910,38316.26
40911,38463.72
40912,38183.09
40913,37739.39
40917,37341.29
40918,37608.68
40919,37316.2
40920,38062.87
40921,37991.19
40924,38225.95
40925,38726.6
40926,39056.43
40927,39258.13
40928,39518.87
40932,39606.62
40933,39542.67
40934,40399.48
40935,40467.92
40938,40600.3
40939,40927.75
40940,41438.43
40941,41602.24
40942,41732.3
40945,41928.33
40946,41912.98
40947,42044.47
40948,41792.46
40949,41219.43
40952,41581.98
40953,41423.51
40954,41616.3
40955,41630.3
40956,42161.4
40959,42047.36
40960,42070.07
40961,41669.41
40962,41258.14
40963,41499.43
40966,41464.05
40967,41605.56
40968,41560.55
40969,41533.87
40970,41639.72
40973,41084.32
40974,40479.75
40975,40791.3
40976,41337.97
40980,41236.46
40981,41297.09
40982,41460.75
40983,42068.69
40984,42281.33
40987,42209.33
40988,41963.41
40989,41568.01
40990,41529.19
40991,40834.43
40994,41209.99
40995,41526.42
40996,41833.54
40997,41608.37
40998,41028.06