Date,CIECH,GINOROSSI,JUTRZENKA,KRUK,TAURONPE,WILBO
40910,17.39,1.57,2.4,43.28,5.35,0.66
40911,17.15,1.57,2.49,43.5,5.44,0.68
40912,17,1.49,2.52,43.3,5.48,0.68
40913,16.8,1.49,2.45,43.1,5.45,0.7
40917,16.32,1.5,2.42,43.5,5.4,0.7
40918,17.55,1.5,2.4,42.8,5.4,0.66
40919,17.55,1.49,2.47,42.1,5.42,0.68
40920,17.7,1.5,2.69,42,5.45,0.68
40921,17.35,1.49,2.6,42.91,5.41,0.71
40924,17.55,1.5,2.72,42.62,5.37,0.75
40925,18.44,1.54,2.85,42.67,5.31,0.77
40926,19.21,1.54,2.79,43,5.39,0.76
40927,19,1.54,2.79,42.8,5.37,0.77
40928,19,1.62,2.8,43.1,5.38,0.77
40932,19,1.67,2.78,43,5.35,0.78
40933,19.29,1.61,2.8,42.81,5.31,0.76
40934,19.36,1.65,2.73,42.65,5.27,0.79
40935,19.35,1.67,2.76,43.05,5.24,0.79
40938,19.35,1.65,2.8,43,5.35,0.74
40939,19.48,1.56,2.83,42.38,5.4,0.71
40940,19.4,1.59,2.85,42.7,5.47,0.73
40941,19.1,1.63,2.99,42.65,5.44,0.73
40942,19.36,1.83,2.94,43.5,5.43,0.73
40945,19.3,1.88,2.94,43.5,5.43,0.73
40946,19,1.82,2.99,46.6,5.36,0.73
40947,18.35,1.84,3,46.5,5.42,0.74
40948,17.65,1.81,2.97,45.3,5.42,0.74
40949,17.8,1.7,2.93,44.65,5.42,0.74
40952,17.83,1.73,2.98,45,5.41,0.74
40953,17.63,1.73,2.95,45,5.41,0.74
40954,17.67,1.77,3,45.97,5.52,0.76
40955,17.6,1.73,2.97,46.8,5.45,0.86
40956,17.8,1.73,3,46.6,5.55,0.86
40959,18.49,1.75,3.03,46.89,5.39,0.86
40960,18.29,1.72,2.98,47,5.4,0.86
40961,18,1.7,2.97,45.48,5.35,0.86
40962,18,1.68,2.97,46.3,5.26,0.96
40963,17.9,1.72,2.93,46.5,5.36,0.83
40966,18,1.69,2.96,47.63,5.19,0.83
40967,18.23,1.67,2.96,47.6,5.16,0.84
40968,18.3,1.68,2.9,47.1,5.1,0.83
40969,17.91,1.71,2.9,46.88,5.11,0.83
40970,17.92,1.73,2.9,46.55,5.21,0.83
40973,17.9,1.73,2.9,47,5.15,0.82
40974,17,1.68,2.8,45.1,5.06,0.79
40975,17.52,1.69,2.88,45.8,5.1,0.82
40976,18,1.7,2.83,45.44,5.02,0.81
40980,17.95,1.65,2.85,47.29,5.02,0.81
40981,17.85,1.65,2.85,47.34,5.11,0.79
40982,17.8,1.7,2.86,45.8,5.13,0.79
40983,17.95,1.64,2.81,47.02,5.17,0.78
40984,18.75,1.66,2.8,47.9,5.11,0.78
40987,17.97,1.68,2.82,45.88,5.3,0.78
40988,18.75,1.6,2.84,46.2,5.22,0.78
40989,16.45,1.54,2.8,47.29,5.23,0.78
40990,16.07,1.5,2.59,48,5.18,0.75
40991,14.87,1.41,2.42,48.95,5.03,0.74
40994,15.2,1.29,2.46,50.4,5.15,0.76
40995,15.9,1.3,2.4,50.5,5.22,0.74
40996,16.58,1.32,2.5,50.15,5.22,0.75
40997,16.62,1.34,2.63,50.9,5.18,0.78
40998,16.2,1.32,2.65,49.71,5.08,0.78